排名,股票代码,分数,权重,目标手数,当前手数,操作,需买卖手数,建议买入价,建议卖出价,流动性,风险提示
1,002591.SZ,5.262599945068359,2.92%,4400,0,buy,4400,5.74,5.72,差,⚠️ 流动性差
2,002486.SZ,4.977910041809082,2.76%,9800,0,buy,9800,2.47,2.47,差,⚠️ 流动性差
3,603818.SH,4.935035705566406,2.74%,6500,0,buy,6500,3.7,3.68,差,⚠️ 流动性差
4,002769.SZ,4.382952690124512,2.43%,2700,0,buy,2700,7.9,7.86,差,⚠️ 流动性差
5,300801.SZ,4.349322319030762,2.41%,1300,0,buy,1300,16.15,16.09,差,⚠️ 流动性差
6,002790.SZ,4.265389442443848,2.37%,2800,0,buy,2800,7.36,7.34,差,⚠️ 流动性差
7,301198.SZ,4.2250237464904785,2.34%,1800,0,buy,1800,10.91,10.87,中,
8,688079.SH,4.125818729400635,2.29%,2200,0,buy,2200,9.15,9.11,差,⚠️ 流动性差
9,300410.SZ,4.0494465827941895,2.25%,3300,0,buy,3300,5.9,5.88,差,⚠️ 流动性差
10,603810.SH,4.0151166915893555,2.23%,1200,0,buy,1200,15.58,15.52,差,⚠️ 流动性差
11,000570.SZ,3.88305926322937,2.16%,3200,0,buy,3200,5.8,5.78,差,⚠️ 流动性差
12,603289.SH,3.863041400909424,2.14%,1900,0,buy,1900,9.53,9.49,差,⚠️ 流动性差
13,002659.SZ,3.8289780616760254,2.13%,3800,0,buy,3800,4.81,4.79,差,⚠️ 流动性差
14,002638.SZ,3.7809650897979736,2.10%,7900,0,buy,7900,2.33,2.33,中,
15,300736.SZ,3.7783124446868896,2.10%,1800,0,buy,1800,9.96,9.92,差,⚠️ 流动性差
16,300642.SZ,3.7731244564056396,2.09%,1200,0,buy,1200,14.22,14.16,中,
17,001228.SZ,3.7726380825042725,2.09%,700,0,buy,700,23.64,23.54,差,⚠️ 流动性差
18,603787.SH,3.762730836868286,2.09%,1500,0,buy,1500,11.76,11.72,差,⚠️ 流动性差
19,600429.SH,3.731933355331421,2.07%,3800,0,buy,3800,4.75,4.73,差,⚠️ 流动性差
20,301017.SZ,3.692456007003784,2.05%,1400,0,buy,1400,12.29,12.25,差,⚠️ 流动性差
21,000757.SZ,3.657365083694458,2.03%,3900,0,buy,3900,4.59,4.57,差,⚠️ 流动性差
22,603115.SH,3.650897979736328,2.03%,1200,0,buy,1200,14.44,14.38,中,
23,000529.SZ,3.633791923522949,2.02%,2900,0,buy,2900,6.11,6.09,中,
24,301246.SZ,3.6248276233673096,2.01%,1200,0,buy,1200,14.29,14.23,差,⚠️ 流动性差
25,603221.SH,3.618164539337158,2.01%,1500,0,buy,1500,11.11,11.07,差,⚠️ 流动性差
26,300365.SZ,3.5813088417053223,1.99%,2700,0,buy,2700,6.26,6.24,中,
27,600272.SH,3.496912717819214,1.94%,1200,0,buy,1200,13.96,13.9,差,⚠️ 流动性差
28,300358.SZ,3.4457175731658936,1.91%,2200,0,buy,2200,7.64,7.6,差,⚠️ 流动性差
29,002216.SZ,3.406567335128784,1.89%,1300,0,buy,1300,11.93,11.89,差,⚠️ 流动性差
30,603122.SH,3.3917176723480225,1.88%,2400,0,buy,2400,6.83,6.81,差,⚠️ 流动性差
31,300317.SZ,3.320375680923462,1.84%,4100,0,buy,4100,3.93,3.91,差,⚠️ 流动性差
32,301332.SZ,3.3083107471466064,1.84%,1500,0,buy,1500,10.52,10.48,差,⚠️ 流动性差
33,600337.SH,3.2974867820739746,1.83%,7200,0,buy,7200,2.23,2.23,差,⚠️ 流动性差
34,000978.SZ,3.2926619052886963,1.83%,2600,0,buy,2600,6.01,5.99,差,⚠️ 流动性差
35,601218.SH,3.2064402103424072,1.78%,4200,0,buy,4200,3.69,3.67,差,⚠️ 流动性差
36,300929.SZ,3.1514461040496826,1.75%,1500,0,buy,1500,9.94,9.9,中,
37,603136.SH,3.1312434673309326,1.74%,1200,0,buy,1200,11.8,11.76,差,⚠️ 流动性差
38,002420.SZ,3.108259677886963,1.73%,2500,0,buy,2500,6.03,6.01,差,⚠️ 流动性差
39,603032.SH,3.106374502182007,1.72%,1000,0,buy,1000,13.92,13.86,差,⚠️ 流动性差
40,603808.SH,3.0759689807891846,1.71%,1900,0,buy,1900,7.79,7.75,中,
41,300272.SZ,3.0552852153778076,1.70%,2400,0,buy,2400,6.2,6.18,差,⚠️ 流动性差
42,300614.SZ,3.0542216300964355,1.70%,1200,0,buy,1200,12.23,12.19,中,
43,688679.SH,3.0527379512786865,1.69%,800,0,buy,800,17.25,17.19,差,⚠️ 流动性差
44,000692.SZ,3.027125835418701,1.68%,4200,0,buy,4200,3.52,3.5,差,⚠️ 流动性差
45,000020.SZ,3.025745153427124,1.68%,1100,0,buy,1100,12.54,12.48,差,⚠️ 流动性差
46,000812.SZ,3.021134376525879,1.68%,3200,0,buy,3200,4.59,4.57,中,
47,603687.SH,3.0140416622161865,1.67%,1900,0,buy,1900,7.43,7.41,差,⚠️ 流动性差
48,002787.SZ,3.008998394012451,1.67%,1700,0,buy,1700,8.47,8.43,差,⚠️ 流动性差
49,002209.SZ,2.9959073066711426,1.66%,1200,0,buy,1200,12.07,12.03,差,⚠️ 流动性差
50,600356.SH,2.967949151992798,1.65%,1700,0,buy,1700,8.1,8.06,差,⚠️ 流动性差
