排名,股票代码,分数,权重,目标手数,当前手数,操作,需买卖手数,建议买入价,建议卖出价,流动性,风险提示
1,002998.SZ,5.85737419128418,3.29%,3700,3000,buy,700,8.25,8.22,差,⚠️ 流动性差
2,002802.SZ,5.363312244415283,3.01%,2200,2000,buy,200,12.69,12.65,差,⚠️ 流动性差
3,601996.SH,5.277091026306152,2.96%,10300,0,buy,10300,2.66,2.65,差,⚠️ 流动性差
4,603679.SH,5.274579048156738,2.96%,1600,0,buy,1600,17.09,17.04,差,⚠️ 流动性差
5,300805.SZ,5.211112976074219,2.93%,3100,2000,buy,1100,8.62,8.59,中,
6,002324.SZ,5.168087482452393,2.90%,2100,0,buy,2100,12.31,12.28,差,⚠️ 流动性差
7,002809.SZ,5.152078628540039,2.89%,3000,0,buy,3000,8.87,8.84,差,⚠️ 流动性差
8,603506.SH,5.022411823272705,2.82%,2200,0,buy,2200,11.48,11.45,差,⚠️ 流动性差
9,603909.SH,4.999285697937012,2.81%,2500,0,buy,2500,10.35,10.32,差,⚠️ 流动性差
10,002494.SZ,4.885501861572266,2.74%,4700,0,buy,4700,5.33,5.31,差,⚠️ 流动性差
11,002846.SZ,4.754322052001953,2.67%,2000,0,buy,2000,12.34,12.31,差,⚠️ 流动性差
12,300822.SZ,4.544419288635254,2.55%,1700,0,buy,1700,13.8,13.76,差,⚠️ 流动性差
13,002111.SZ,4.498011589050293,2.53%,2300,0,buy,2300,10.19,10.16,差,⚠️ 流动性差
14,300334.SZ,4.489666938781738,2.52%,3100,0,buy,3100,7.36,7.34,中,
15,600493.SH,4.473146438598633,2.51%,3600,0,buy,3600,6.45,6.43,中,
16,300272.SZ,4.459996223449707,2.50%,3700,0,buy,3700,6.14,6.12,差,⚠️ 流动性差
17,002875.SZ,4.403560638427734,2.47%,1100,0,buy,1100,20.62,20.56,差,⚠️ 流动性差
18,300214.SZ,4.396488189697266,2.47%,2900,0,buy,2900,7.81,7.78,差,⚠️ 流动性差
19,002374.SZ,4.359177589416504,2.45%,6800,0,buy,6800,3.33,3.32,差,⚠️ 流动性差
20,300823.SZ,4.245166778564453,2.38%,1200,0,buy,1200,17.08,17.03,差,⚠️ 流动性差
21,300405.SZ,4.214092254638672,2.37%,3400,0,buy,3400,6.43,6.41,差,⚠️ 流动性差
22,002114.SZ,4.209711074829102,2.36%,2700,0,buy,2700,7.92,7.89,差,⚠️ 流动性差
23,002858.SZ,4.128429412841797,2.32%,1600,0,buy,1600,13.23,13.19,差,⚠️ 流动性差
24,300422.SZ,4.072877883911133,2.29%,4000,0,buy,4000,5.25,5.23,差,⚠️ 流动性差
25,002313.SZ,4.067831516265869,2.28%,2300,0,buy,2300,8.94,8.91,差,⚠️ 流动性差
26,300610.SZ,4.037260055541992,2.27%,1900,0,buy,1900,10.76,10.73,差,⚠️ 流动性差
27,002729.SZ,3.9615089893341064,2.22%,1000,0,buy,1000,19.02,18.96,差,⚠️ 流动性差
28,002148.SZ,3.9466617107391357,2.22%,3100,0,buy,3100,6.64,6.62,中,
29,600470.SH,3.86893367767334,2.17%,3700,0,buy,3700,5.37,5.35,差,⚠️ 流动性差
30,300643.SZ,3.86398983001709,2.17%,1200,0,buy,1200,16.52,16.47,中,
31,300446.SZ,3.846317768096924,2.16%,1200,0,buy,1200,16.23,16.18,中,
32,300817.SZ,3.834259271621704,2.15%,1000,0,buy,1000,18.44,18.38,差,⚠️ 流动性差
33,002591.SZ,3.81160569190979,2.14%,2500,0,buy,2500,7.82,7.79,差,⚠️ 流动性差
34,300509.SZ,3.794236421585083,2.13%,2000,0,buy,2000,9.64,9.61,差,⚠️ 流动性差
35,600099.SH,3.78617262840271,2.13%,2000,0,buy,2000,9.69,9.66,差,⚠️ 流动性差
36,300514.SZ,3.7371363639831543,2.10%,1700,0,buy,1700,10.94,10.91,中,
37,603029.SH,3.6605658531188965,2.06%,1100,0,buy,1100,16.8,16.75,中,
38,603183.SH,3.6424291133880615,2.05%,4600,0,buy,4600,4.11,4.1,中,
39,002817.SZ,3.6183478832244873,2.03%,2700,0,buy,2700,6.93,6.91,中,
40,002206.SZ,3.5869550704956055,2.01%,3600,0,buy,3600,5.16,5.14,差,⚠️ 流动性差
41,600148.SH,3.5610580444335938,2.00%,1000,0,buy,1000,16.93,16.88,差,⚠️ 流动性差
