trade_date,ts_code,score,score_deep,score_lgbm,rank_deep,rank_lgbm,buyable,rank_ret_5d,ret_5d,hs300_idx_vol20,sh_idx_vol20,volatility_20d
20260529,000001.SZ,-0.42301884293556213,-0.42301884293556213,-0.42301884293556213,0.4787018255578093,0.4787018255578093,True,0.8673263327948304,0.023408239700374533,0.009992497502863676,0.009179073192952488,0.008549822922099815
20260529,000002.SZ,-7.4274444580078125,-7.4274444580078125,-7.4274444580078125,0.011764705882352941,0.011764705882352941,True,0.875,0.026011560693641522,0.009992497502863676,0.009179073192952488,0.027037497020151496
20260529,000006.SZ,0.6691199541091919,0.6691199541091919,0.6691199541091919,0.711764705882353,0.711764705882353,True,0.050282714054927305,-0.16360294117647067,0.009992497502863676,0.009179073192952488,0.044004777012481074
20260529,000007.SZ,1.2587471008300781,1.2587471008300781,1.2587471008300781,0.8091277890466532,0.8091277890466532,True,0.2940226171243942,-0.0906902086677368,0.009992497502863676,0.009179073192952488,0.05190962078894298
20260529,000008.SZ,-1.9038825035095215,-1.9038825035095215,-1.9038825035095215,0.2099391480730223,0.2099391480730223,True,0.7166801292407108,-0.019083969465648942,0.009992497502863676,0.009179073192952488,0.013308956600226747
20260529,000009.SZ,-0.09996815025806427,-0.09996815025806427,-0.09996815025806427,0.5574036511156186,0.5574036511156186,True,0.577140549273021,-0.046391752577319534,0.009992497502863676,0.009179073192952488,0.02276084994316071
20260529,000011.SZ,-2.3402974605560303,-2.3402974605560303,-2.3402974605560303,0.1612576064908722,0.1612576064908722,True,0.6765953150242326,-0.02777777777777779,0.009992497502863676,0.009179073192952488,0.021065972067063204
20260529,000012.SZ,-0.7117340564727783,-0.7117340564727783,-0.7117340564727783,0.4150101419878296,0.4150101419878296,True,0.3628836833602585,-0.0795454545454547,0.009992497502863676,0.009179073192952488,0.04071500052200088
20260529,000014.SZ,-0.8564952611923218,-0.8564952611923218,-0.8564952611923218,0.38235294117647056,0.38235294117647056,True,0.48323909531502424,-0.06156552330694809,0.009992497502863676,0.009179073192952488,0.01597267740504809
20260529,000017.SZ,-0.018599383533000946,-0.018599383533000946,-0.018599383533000946,0.5768762677484787,0.5768762677484787,True,0.54109450726979,-0.05253940455341499,0.009992497502863676,0.009179073192952488,0.01619654446656276
20260529,000019.SZ,1.04279363155365,1.04279363155365,1.04279363155365,0.7799188640973631,0.7799188640973631,True,0.60359450726979,-0.0416047548291234,0.009992497502863676,0.009179073192952488,0.014565261719470427
20260529,000020.SZ,-0.5951986908912659,-0.5951986908912659,-0.5951986908912659,0.43975659229208924,0.43975659229208924,True,0.5151453957996769,-0.05677517032551094,0.009992497502863676,0.009179073192952488,0.027775422984560302
20260529,000021.SZ,-0.17057135701179504,-0.17057135701179504,-0.17057135701179504,0.5371196754563895,0.5371196754563895,True,0.9174071082390953,0.054598462761728195,0.009992497502863676,0.009179073192952488,0.04416060460877886
20260529,000025.SZ,-0.017771080136299133,-0.017771080136299133,-0.017771080136299133,0.5772819472616633,0.5772819472616633,False,0.9145799676898223,0.05241935483870974,0.009992497502863676,0.009179073192952488,0.028168363893865688
