side,ts_code,score,buyable,reference_price,weight_ratio,target_amount,estimated_shares,target_position_ratio,position_confidence,market_vol_percentile
buy,002998.SZ,6.113377571105957,True,8.24,0.03520136151842995,33336.14651849237,4000,0.9470129870129871,1.0,0.44155844155844154
buy,002802.SZ,5.446745872497559,True,12.68,0.03136283802639672,29701.01492058246,2300,0.9470129870129871,1.0,0.44155844155844154
buy,003003.SZ,5.427923202514648,True,11.88,0.031254455450136075,29598.3752132977,2400,0.9470129870129871,1.0,0.44155844155844154
buy,002494.SZ,5.373910427093506,True,5.32,0.030943445176012038,29303.844444607766,5500,0.9470129870129871,1.0,0.44155844155844154
buy,601996.SH,5.368598461151123,True,2.66,0.030912858412584374,29274.878382411076,11000,0.9470129870129871,1.0,0.44155844155844154
buy,603909.SH,5.212019920349121,True,10.34,0.030011265511329564,28421.058195924055,2700,0.9470129870129871,1.0,0.44155844155844154
buy,603679.SH,5.120563983917236,True,17.07,0.02948465424875006,27922.350491153957,1600,0.9470129870129871,1.0,0.44155844155844154
buy,002324.SZ,5.083028793334961,True,12.3,0.029268523345991046,27717.67171934633,2200,0.9470129870129871,1.0,0.44155844155844154
buy,603506.SH,5.00124979019165,True,11.47,0.02879763270971325,27271.732171328447,2300,0.9470129870129871,1.0,0.44155844155844154
buy,600099.SH,4.952054977416992,True,9.68,0.0285143646849315,27003.473673054614,2700,0.9470129870129871,1.0,0.44155844155844154
buy,003038.SZ,4.761014938354492,True,12.35,0.02741433946952223,25961.735508020276,2100,0.9470129870129871,1.0,0.44155844155844154
buy,301388.SZ,4.732020854949951,True,28.27,0.027247389007204536,25803.631252017596,900,0.9470129870129871,1.0,0.44155844155844154
buy,002809.SZ,4.70333194732666,True,8.86,0.02708219577366545,25647.191114489415,2800,0.9470129870129871,1.0,0.44155844155844154
buy,300272.SZ,4.67535924911499,True,6.13,0.026921126536416165,25494.656455006065,4100,0.9470129870129871,1.0,0.44155844155844154
buy,600493.SH,4.6597442626953125,True,6.44,0.02683121408202068,25409.50819299933,3900,0.9470129870129871,1.0,0.44155844155844154
buy,002875.SZ,4.640230178833008,True,20.6,0.026718850284308496,25303.09821729579,1200,0.9470129870129871,1.0,0.44155844155844154
buy,002111.SZ,4.541745185852051,True,10.18,0.026151765100751685,24766.061183724847,2400,0.9470129870129871,1.0,0.44155844155844154
buy,300422.SZ,4.502402305603027,True,5.24,0.02592522536314938,24551.52511014095,4600,0.9470129870129871,1.0,0.44155844155844154
buy,300805.SZ,4.4566497802734375,True,8.61,0.02566177832985635,24302.037348222406,2800,0.9470129870129871,1.0,0.44155844155844154
buy,002846.SZ,4.411228179931641,True,12.33,0.025400236791520123,24054.354114774644,1900,0.9470129870129871,1.0,0.44155844155844154
buy,300334.SZ,4.376955032348633,True,7.35,0.02520288901700246,23867.46320934831,3200,0.9470129870129871,1.0,0.44155844155844154
buy,688592.SH,4.354346752166748,True,38.17,0.02507270856687716,23744.18063242445,600,0.9470129870129871,1.0,0.44155844155844154
buy,301025.SZ,4.270543098449707,True,9.5,0.02459015981592128,23287.200698402336,2400,0.9470129870129871,1.0,0.44155844155844154
buy,600843.SH,4.26469087600708,True,7.7,0.024556462208421486,23255.288626468766,3000,0.9470129870129871,1.0,0.44155844155844154
buy,300822.SZ,4.245089054107666,True,13.79,0.02444359320743545,23148.40021670381,1600,0.9470129870129871,1.0,0.44155844155844154
buy,301365.SZ,4.241122245788574,True,32.34,0.0244207519789835,23126.76927672048,700,0.9470129870129871,1.0,0.44155844155844154
buy,002374.SZ,4.2214508056640625,True,3.33,0.024307482110182348,23019.501239928533,6900,0.9470129870129871,1.0,0.44155844155844154
buy,002114.SZ,4.203452110290527,True,7.91,0.024203844051623943,22921.35465252491,2800,0.9470129870129871,1.0,0.44155844155844154
buy,300823.SZ,4.178628921508789,True,17.06,0.024060909964503895,22785.99421573538,1300,0.9470129870129871,1.0,0.44155844155844154
buy,300214.SZ,4.170375347137451,True,7.8,0.02401338516305242,22740.98761155562,2900,0.9470129870129871,1.0,0.44155844155844154
buy,600470.SH,4.098038673400879,True,5.36,0.023596864283452774,22346.53692921268,4100,0.9470129870129871,1.0,0.44155844155844154
buy,301065.SZ,4.0495500564575195,True,20.83,0.02331766259589153,22082.12930509624,1000,0.9470129870129871,1.0,0.44155844155844154
buy,301138.SZ,4.039524555206299,True,28.59,0.023259934884844253,22027.46041302394,700,0.9470129870129871,1.0,0.44155844155844154
buy,300817.SZ,4.019771575927734,True,18.42,0.023146195506478815,21919.747744577082,1100,0.9470129870129871,1.0,0.44155844155844154
buy,603029.SH,3.9531586170196533,True,16.78,0.022762632276322973,21556.508384278848,1200,0.9470129870129871,1.0,0.44155844155844154
buy,002858.SZ,3.9365031719207764,True,13.22,0.02266672877006042,21465.686518348128,1600,0.9470129870129871,1.0,0.44155844155844154
buy,300405.SZ,3.9312245845794678,True,6.42,0.022636334203530412,21436.902469109584,3300,0.9470129870129871,1.0,0.44155844155844154
buy,002980.SZ,3.9311563968658447,True,109.22,0.022635941572725193,21436.53064263794,100,0.9470129870129871,1.0,0.44155844155844154
