trade_date,ic
20250102,0.024840879838032518
20250103,0.048753476322716205
20250106,0.2107908134614257
20250107,0.001769339220263093
20250108,-0.08682285380400674
20250109,0.2608706486873472
20250110,0.25382022323036163
20250113,-0.22904975950083542
20250114,0.1990063381702801
20250115,0.040619326109178025
20250116,0.18442727183084223
20250117,0.07636383920405485
20250120,-0.0895757452291734
20250121,0.12324460303610747
20250122,0.22215876551236993
20250123,0.0058643104563741505
20250124,0.2713353306525013
20250127,-0.004745337378238518
20250205,-0.03055949767390618
20250206,-0.022832068214937003
20250207,0.047431276036330516
20250210,0.1740418317906905
20250211,-0.0977426742824186
20250212,0.2010596207367818
20250213,0.17484663160470493
20250214,0.06471130111615678
20250217,0.20500584649101436
20250218,0.061208822245328004
20250219,0.15943492107173615
20250220,-0.07493903341519857
20250221,0.2404445681952898
20250224,0.03569497065855814
20250225,0.07600042359091068
20250226,0.24258558042888104
20250227,0.2699834518336108
20250228,0.1733638007972555
20250303,0.25684086944008205
20250304,-0.023879489259909504
20250305,0.007473124580021884
20250306,0.14536192410533894
20250307,0.11841289336168492
20250310,0.09699322662543483
20250311,0.10292643752303489
20250312,0.2649034394857026
20250313,0.25943803345741634
20250314,0.16157779767675137
20250317,0.12259933255250051
20250318,0.19207545483797972
20250319,0.13510679774889708
20250320,0.23256244903305523
20250321,0.03722427326633474
20250324,0.19952495687241972
20250325,0.17516590475586813
20250326,0.18618416504663968
20250327,0.15569375415829328
20250328,0.09023461290770805
20250331,0.17328796376340047
20250401,0.17163653889293118
20250402,0.1935432550166836
20250403,-0.09155173534746247
20250407,0.47711025457097284
20250408,0.2747515367928399
20250409,-0.08063625504027902
20250410,0.31373819721986534
20250411,0.24755457665233774
20250414,0.17086548614846128
20250415,-0.009497761685741608
20250416,0.09537733275508871
20250417,0.30700390097510105
20250418,0.11827687677897748
20250421,0.1581306484477792
20250422,0.2966945666023412
20250423,0.12837436151266268
20250424,0.17695839780811773
20250425,0.028080449077548763
20250428,0.21661436358115888
20250429,0.0684522071361794
20250430,0.015009620566172457
20250506,0.1338434001422262
20250507,0.29388738904150574
20250508,0.2004047712561193
20250509,0.0828242106368863
20250512,0.04579401106004711
20250513,-0.04632185606002213
20250514,0.2299710047473463
20250515,0.09715699311402852
20250516,0.16343977112501115
20250519,0.04337170678265749
20250520,0.23713778075125688
20250521,0.16380075260905141
20250522,0.1834660173152309
20250523,0.14504450267844707
20250526,0.1830713430250732
20250527,0.1663381145677444
20250528,0.15216702530278103
20250529,0.1691353271902375
20250530,0.08148063151112439
20250603,0.11470390314185305
20250604,0.05928222322705081
20250605,0.30559228752469236
20250606,0.005348928834511385
20250609,0.13889914292996963
20250610,0.15872296324779964
20250611,0.0995310763011923
20250612,0.22383552500688078
20250613,0.17303364717550773
20250616,0.11495286687199224
20250617,0.05631978650825445
20250618,0.07114804515521551
20250619,0.14720159764737736
20250620,0.11708632427523699
20250623,0.2046765130949
20250624,-0.042336620053626935
20250625,0.1478941295065102
20250626,0.1587572669336107
20250627,-0.051473987784668475
20250630,0.14010695322311495
20250701,0.26446245849403427
20250702,0.16974454159838376
20250703,0.198408008156021
20250704,0.17109710902585112
20250707,0.13240977583279992
20250708,0.16046165362311482
20250709,0.22681023081982302
20250710,0.09407187313785235
20250711,0.17280247347006117
20250714,0.03243509283676873
20250715,0.15412524635851182
20250716,-0.11070210650983348
20250717,0.18781568777880864
20250718,0.12630010709108272
20250721,0.12842222514882415
20250722,0.25847942862578493
20250723,0.09885448179681859
20250724,0.18252731157308508
20250725,-0.10867735238368706
20250728,-0.03532276958395229
20250729,0.20424951769676383
20250730,0.03626649609526042
20250731,0.1751570878804181
20250801,-0.06709410354777075
20250804,0.1773999569037276
20250805,0.05333197969757415
20250806,0.14422425714450746
20250807,0.14199025843810756
20250808,0.06821431996020075
20250811,0.1444855225937098
20250812,-0.06949819993492401
20250813,0.07655872243682611
20250814,0.07273109047426894
20250815,0.01039926874026622
20250818,0.30591863899935806
20250819,0.1897474515830531
20250820,0.2890176195132925
