n_hold,k_trade,total_return,annual_return,sharpe,max_drawdown,turnover,objective
20,1,-0.0049081713414296235,-0.04185420693696451,-0.07891112806442331,-0.061379332504768014,8.459853554169046,-0.234705338793741
20,2,-0.0031859976946804203,-0.027348486586900478,-0.015858266908986403,-0.06001553353420441,11.030635770920915,-0.1925521535417608
20,3,0.0027501937541889454,0.024152491612310367,0.21727088535154346,-0.061903282432921425,13.21173906596035,0.028750599767396412
20,4,0.026191858303317828,0.25190782854752447,1.063530763620704,-0.062008415585583565,15.669583639634451,0.8972102282454116
20,5,0.02984556428966645,0.29117517908219015,1.1595968582009424,-0.06315075902318357,18.228283954065468,0.9738543882164369
20,6,0.04195698240983048,0.42925103077096693,1.603679568753726,-0.05990284138858404,20.59914241234007,1.4216992680614022
20,7,0.03713030418398233,0.37273316926738254,1.4132361725463112,-0.061494987957559366,22.868185606059214,1.1973199368961245
20,8,0.038369573966386517,0.3870523170633875,1.4382038234172871,-0.06353079384089011,25.050354039767242,1.2009086371114974
20,9,0.031087672558454127,0.3047705091729085,1.1592064216756128,-0.06977391472650918,27.17955018112903,0.8798123502547215
20,10,0.03063051141678197,0.2997520529074651,1.141885099612438,-0.06995331720332765,29.85554692050897,0.8346373360375843
20,11,0.026640595934419586,0.2566728964568221,1.012362784315984,-0.07006579556988202,32.39715380423045,0.6716066425726366
20,12,0.024165208697413565,0.230585761262746,0.931820202482622,-0.07013759236644157,34.72044063426354,0.5628086211683722
20,13,0.022137560081613383,0.20957541216027842,0.8649643409538158,-0.07021612377046194,37.23798428488487,0.46664349449773196
20,14,0.020082194054688918,0.18860245312486756,0.7970406479009251,-0.07040747553764792,39.73316402984228,0.36946592017423224
20,15,0.018298571819265863,0.17066384210441643,0.7378915834282941,-0.07046237882693729,42.31976539513285,0.28082869428856005
20,16,0.01695341034927189,0.15729391133237436,0.6924730791617306,-0.0706296422827778,44.82798353099955,0.20747042226750106
20,17,0.009458387551973368,0.08524293696200202,0.44366429553587805,-0.07077208920652811,47.29724276734348,-0.0811634462401381
20,18,0.007136796532712486,0.0637453710434539,0.36650001135352916,-0.07093844681221984,49.65166866716677,-0.1866815290649334
20,19,0.007232543715112172,0.06462446746931927,0.3691828406336901,-0.07109814367080836,50.99432438634752,-0.19739345947036913
20,20,0.006115648899575055,0.05440965122014929,0.33210103822583964,-0.07118200010929143,52.28939526111265,-0.24974361669542816
50,1,-0.009890101906119164,-0.082744650542104,-0.2591863400184523,-0.07235883933202958,3.9721467263798185,-0.39104685042651843
50,2,-0.013024885064219838,-0.10767540164444989,-0.35835475851537035,-0.0757320208579989,5.047994677358193,-0.5106164962753909
50,3,-0.014458612217599032,-0.11887651490635842,-0.4125785054406709,-0.07632629068407715,6.050777420546314,-0.5783297947654092
50,4,-0.007966917270701757,-0.06714640714566356,-0.16587921419068746,-0.07707358360450434,7.105325011077847,-0.32993988244737377
50,5,-0.009302112183503963,-0.07800036374008357,-0.2087167410393236,-0.0778320657374516,8.075855117232722,-0.38591158231611034
50,6,-0.003358751408955807,-0.02881229320037193,-0.0021321454919525527,-0.07517923093650558,9.059896118114375,-0.1746278404275135
50,7,-0.005478028297267845,-0.04661172853922213,-0.08061841507976943,-0.0746158456013889,10.018919379984249,-0.2663795110755365
50,8,-0.00182085650162489,-0.015712291504393017,0.05271285400070492,-0.07444916013764069,11.081602122401163,-0.1361940403641972
50,9,0.0029095635625904226,0.025567782992300447,0.2251493799068807,-0.07558534528327365,12.003923004859873,0.03534393170018915
50,10,0.0004513673423793829,0.003929040164849296,0.13501158451817857,-0.07363826272106178,12.837490263427377,-0.0660988461523982
50,11,0.0021976452287111314,0.01925893196301076,0.19890664226486338,-0.07411363180059394,13.852991991308334,-0.00934161899139166
50,12,0.0028741260558635684,0.025252928932462337,0.22336210159119635,-0.0740759313571977,14.790675126861542,0.007127671077110376
50,13,0.006619516528175939,0.05900709932128323,0.3640271570084908,-0.06993077915175205,15.83628315312202,0.14897257938187045
50,14,0.0029680739023112412,0.02608782110988428,0.22628345165667677,-0.07107622852425466,16.805940388101984,-0.006916032943975248
50,15,0.0011022517319108083,0.0096188794417571,0.15641795942495437,-0.07103866188690489,17.842444468791136,-0.09084064368604025
50,16,0.0003566227594444804,0.003103181292530399,0.128344518937793,-0.07110021283565693,18.798759497037853,-0.1300300433493535
50,17,0.0008269900007793485,0.007209149794165537,0.14610490699799356,-0.07115652042188436,19.84679337882629,-0.12186556721059502
50,18,0.00012291144264509057,0.0010685629274156394,0.11977764515554243,-0.07121731247947971,20.887625439364736,-0.16007009883229448
50,19,-0.00026627402592882543,-0.002311462025630262,0.10542595320479177,-0.0712829469209918,21.92308717407989,-0.18562041350885655
50,20,-0.0005067976485541026,-0.00439532528749409,0.09642798077312775,-0.07127771612931444,22.96942172457647,-0.2055575478990596
